subject,mean_accuracy,std_accuracy,chance,n_trials,above_chance,usable_70
1,0.6666666666666665,0.1405456737852613,0.5111111111111111,45,True,False
2,0.8666666666666666,0.12957670877434002,0.5111111111111111,45,True,True
3,0.4444444444444445,0.2533723166886973,0.5111111111111111,45,False,False
4,0.5777777777777777,0.2154524381073924,0.5111111111111111,45,True,False
5,0.5777777777777778,0.12957670877434002,0.5333333333333333,45,True,False
6,0.4222222222222222,0.12957670877434002,0.5333333333333333,45,False,False
7,0.9777777777777779,0.04444444444444447,0.5111111111111111,45,True,True
8,0.6888888888888889,0.12957670877434,0.5111111111111111,45,True,False
9,0.5777777777777777,0.12957670877434005,0.5333333333333333,45,True,False
10,0.5111111111111112,0.11331154474650633,0.5333333333333333,45,False,False
11,0.5777777777777777,0.12957670877434,0.5111111111111111,45,True,False
12,0.5333333333333333,0.19116278371205836,0.5333333333333333,45,False,False
13,0.6666666666666666,0.15713484026367722,0.5111111111111111,45,True,False
14,0.5333333333333332,0.12957670877434,0.5111111111111111,45,True,False
15,0.6222222222222221,0.19372884193514103,0.5111111111111111,45,True,False
16,0.4888888888888888,0.20608041101101565,0.5111111111111111,45,False,False
17,0.5777777777777778,0.12957670877434002,0.5111111111111111,45,True,False
18,0.4666666666666666,0.12957670877434002,0.5111111111111111,45,False,False
19,0.6222222222222221,0.11331154474650633,0.5111111111111111,45,True,False
20,0.4444444444444445,0.23306863292670035,0.5111111111111111,45,False,False
21,0.5999999999999999,0.13333333333333333,0.5333333333333333,45,True,False
22,0.6666666666666666,0.09938079899999065,0.5111111111111111,45,True,False
23,0.6666666666666667,0.18592445034090568,0.5111111111111111,45,True,False
24,0.4444444444444445,0.1405456737852613,0.5111111111111111,45,False,False
25,0.5111111111111112,0.18053418676968802,0.5111111111111111,45,True,False
26,0.8222222222222222,0.05443310539518171,0.5333333333333333,45,True,True
27,0.5555555555555556,0.12171612389003691,0.5111111111111111,45,True,False
28,0.5111111111111111,0.13333333333333333,0.5111111111111111,45,False,False
29,1.0,0.0,0.5111111111111111,45,True,True
30,0.4666666666666666,0.10886621079036349,0.5333333333333333,45,False,False
31,0.7333333333333333,0.1507184440694504,0.5111111111111111,45,True,True
32,0.6222222222222222,0.11331154474650633,0.5333333333333333,45,True,False
33,0.7777777777777777,0.09938079899999065,0.5111111111111111,45,True,True
34,0.8444444444444443,0.1507184440694504,0.5333333333333333,45,True,True
35,0.7555555555555555,0.12957670877434,0.5111111111111111,45,True,True
36,0.5777777777777777,0.19116278371205836,0.5111111111111111,45,True,False
37,0.3333333333333333,0.15713484026367724,0.5111111111111111,45,False,False
38,0.39999999999999997,0.05443310539518174,0.5111111111111111,45,False,False
39,0.5111111111111111,0.15071844406945042,0.5111111111111111,45,False,False
40,0.4444444444444445,0.12171612389003691,0.5333333333333333,45,False,False
41,0.5777777777777778,0.1632993161855452,0.5333333333333333,45,True,False
42,0.888888888888889,0.07027283689263066,0.5111111111111111,45,True,True
43,0.7333333333333334,0.16629588385661961,0.5111111111111111,45,True,True
44,0.5777777777777778,0.16329931618554522,0.5111111111111111,45,True,False
45,0.5333333333333334,0.1632993161855452,0.5111111111111111,45,True,False
46,0.5777777777777778,0.2757705254664635,0.5111111111111111,45,True,False
47,0.4666666666666666,0.04444444444444446,0.5333333333333333,45,False,False
48,0.6222222222222222,0.19372884193514103,0.5111111111111111,45,True,False
49,0.8444444444444443,0.11331154474650633,0.5111111111111111,45,True,True
50,0.6222222222222221,0.21773242158072695,0.5111111111111111,45,True,False
